Label,Furniture_Type,Image_File
furniture set ,Other,/furniture_images/1634011558853_Furniture Set for sale.jpg
bed room set ,Bed / bedroom item,/furniture_images/1634011559093_Bed Room Set for sale.jpg
6by6 teak box bed with hybrids mattress ,Bed / bedroom item,/furniture_images/1634011559259_6by6 Teak Box Bed with Hybrids Mattress for sale.jpg
new spring mattress ,Bed / bedroom item,/furniture_images/1634011559590_New Spring Mattress for sale.jpg
exclusive 6 by teak box bed with spring mattress ,Bed / bedroom item,/furniture_images/1634011559751_Exclusive 6 by Teak Box Bed with Spring Mattress for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011559907_Tv Stand for sale.jpg
exclusive 6 by 5 teak box bed with spring mattress ,Bed / bedroom item,/furniture_images/1634011560082_Exclusive 6 by 5 Teak Box Bed with Spring Mattress for sale.jpg
new phoenix 6 pc drawer set ,Storage,/furniture_images/1634011560266_New Phoenix 6 Pc Drawer Set for sale.jpg
exclusive 6 by teak box bed ,Bed / bedroom item,/furniture_images/1634011560797_Exclusive 6 by Teak Box Bed for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011561104_Tv Stand for sale.jpg
coffee table ,Table / chair,/furniture_images/1634011561290_Coffee table for sale.jpg
teek box bed 6by4 ,Bed / bedroom item,/furniture_images/1634011561486_Teek box bed 6by4 for sale.jpg
6by6 teak box bed with mattress piyestra ,Bed / bedroom item,/furniture_images/1634011561656_6by6 Teak Box Bed with Mattress Piyestra for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011561826_Tv Stand for sale.jpg
new 2d cupboards ,Bed / bedroom item,/furniture_images/1634011562224_New 2D Cupboards for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011562400_Tv Stand for sale.jpg
table ,Table / chair,/furniture_images/1634011562601_Table for sale.jpg
6 by 5 teak box bed with mattress piyestra ,Bed / bedroom item,/furniture_images/1634011562765_6 by 5 Teak box bed with mattress piyestra for sale.jpg
damro sofa set ,Sofa / living room item,/furniture_images/1634011562917_Damro Sofa Set for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011563066_Tv Stand for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011563296_Tv Stand for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011563463_Tv Stand for sale.jpg
new office cupboard 4 x 3 ,Storage,/furniture_images/1634011563649_New Office Cupboard 4 X 3 for sale.jpg
new steel office cupboard ,Storage,/furniture_images/1634011563799_New Steel Office Cupboard for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011563959_Tv Stand for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011564138_Tv Stand for sale.jpg
new steel office cupboard glass ,Storage,/furniture_images/1634011564289_New Steel Office Cupboard Glass for sale.jpg
steel single bed/à¶ºà¶à¶© à¶à¶¯à¶±à·.. 6*2.5 ,Bed / bedroom item,/furniture_images/1634011779654_Steel Single Bedà¶ºà¶à¶© à¶à¶¯à¶±à· 625 for sale.jpg
edh001 executive high back office chair ,Table / chair,/furniture_images/1634011779918_EDH001 Executive High Back Office Chair for sale.jpg
tv stand ,TV / stereo,/furniture_images/1634011780105_Tv Stand for sale.jpg
plywood doors ,Other,/furniture_images/1634011821345_Plywood Doors for sale.jpg
72*30 double layer mattress ,Bed / bedroom item,/furniture_images/1634011821533_7230 Double Layer Mattress for sale.jpg
new office cupboard 4 x 3 a ,Storage,/furniture_images/1634011822274_New Office Cupboard 4 X 3 A for sale.jpg
teak dining table with 6 chairs ,Table / chair,/furniture_images/1634011822469_Teak Dining Table with 6 Chairs for sale.jpg
wooden sofa set ,Sofa / living room item,/furniture_images/1634011822649_Wooden Sofa Set for sale.jpg
3d premium wardrobe ,Bed / bedroom item,/furniture_images/1634011822823_3D Premium Wardrobe for sale.jpg
table ,Table / chair,/furniture_images/1634011822994_Table for sale.jpg
branded 4x2 office tables ,Table / chair,/furniture_images/1634011823135_Branded 4x2 Office Tables for sale.jpg
double layer mattress ,Bed / bedroom item,/furniture_images/1634011823310_Double Layer Mattress for sale.jpg
attonia bed ,Bed / bedroom item,/furniture_images/1634011823490_Attonia Bed for sale.jpg
study table 3.5ã2ft ,Table / chair,/furniture_images/1634011823679_Study table 35Ã2ft for sale.jpg
new teak dressing table ,Bed / bedroom item,/furniture_images/1634011823883_New Teak Dressing Table for sale.jpg
relaxing chair ,Table / chair,/furniture_images/1634011824038_Relaxing Chair for sale.jpg
brand new office tables ,Table / chair,/furniture_images/1634011824246_Brand New Office Tables for sale.jpg
piyestra/arpico flexifoam spring mattresses ,Bed / bedroom item,/furniture_images/1634011824445_Piyestraarpico Flexifoam Spring Mattresses for sale.jpg
banquet chair cover white ,Table / chair,/furniture_images/1634011824604_Banquet Chair Cover White for sale.jpg
brand new study/writing tables ,Table / chair,/furniture_images/1634011824759_Brand new studywriting tables for sale.jpg
table mahogani ,Table / chair,/furniture_images/1634011824922_Table Mahogani for sale.jpg
steel cupboard ( 6x5 ) ,Bed / bedroom item,/furniture_images/1634011825071_Steel Cupboard  6x5  for sale.jpg
teak dressing table ,Bed / bedroom item,/furniture_images/1634011825231_Teak Dressing Table for sale.jpg
melamine cupboard ,Bed / bedroom item,/furniture_images/1634011825400_Melamine Cupboard for sale.jpg
piyestra deluxe leather chair ,Table / chair,/furniture_images/1634011825590_Piyestra Deluxe Leather Chair for sale.jpg
piyestra white touch luxerious 3 d wardrobe ,Bed / bedroom item,/furniture_images/1634011825787_Piyestra White Touch Luxerious 3 D Wardrobe for sale.jpg
6ã5/6ã6 teak arch bed ,Bed / bedroom item,/furniture_images/1634011825951_6Ã56Ã6 Teak Arch Bed for sale.jpg
piyestra 72x48x8â spring mattress ,Bed / bedroom item,/furniture_images/1634011826165_Piyestra 72x48x8â Spring Mattress for sale.jpg
pinewood table ,Table / chair,/furniture_images/1634011855723_Pinewood Table for sale.jpg
piyeste coolfoam mattresess ,Bed / bedroom item,/furniture_images/1634011856395_Piyeste Coolfoam Mattresess for sale.jpg
teak box dressing table with side stool ,Bed / bedroom item,/furniture_images/1634011856600_Teak Box Dressing table with side stool for sale.jpg
new 6x5 teak modern box neds ,Bed / bedroom item,/furniture_images/1634011856760_New 6x5 Teak Modern Box Neds for sale.jpg
teak box three door wardrobe ,Bed / bedroom item,/furniture_images/1634011856951_Teak Box Three Door wardrobe for sale.jpg
bed- iron 36ã72 ,Bed / bedroom item,/furniture_images/1634011857112_Bed Iron 36Ã72 for sale.jpg
new classic 6x3 steel almare ,Bed / bedroom item,/furniture_images/1634011857338_New Classic 6x3 Steel Almare for sale.jpg
